anio,id_diputado,nombre_completo,rank_asistencia,pct_asistencia_ponderada,sesiones_consideradas,pct_cobertura_registro,flag_cobertura,publicar_en_ranking,status_2025,nota_status,fuente_status,no_asiste_total,no_asiste_con_just,no_asiste_sin_just,pct_no_asiste_justificada,missing_no_evaluable,disclaimer_notas,fecha_generacion
2025,1027,Jorge Durán Espinoza,103,95.741,114,100.0,ok,1,,,,14,13,1,92.86,0,Inasistencias justificadas: 13/14 (92.86%).,2026-02-27
2025,1053,Cristhian Moreira Barros,104,95.724,118,100.0,ok,1,,,,10,10,0,100.0,0,Inasistencias justificadas: 10/10 (100.0%).,2026-02-27
2025,1048,Carolina Marzán Pinto,105,95.695,117,100.0,ok,1,,,,11,9,2,81.82,0,Inasistencias justificadas: 9/11 (81.82%).,2026-02-27
2025,1148,Javiera Morales Alvarado,106,95.595,119,100.0,ok,1,,,,9,8,1,88.89,0,Inasistencias justificadas: 8/9 (88.89%).,2026-02-27
2025,1076,Alexis Sepúlveda Soto,107,95.31,116,100.0,ok,1,,,,12,9,3,75.0,0,Inasistencias justificadas: 9/12 (75.0%).,2026-02-27
2025,1131,Mauro González Villarroel,108,95.268,123,100.0,ok,1,,,,6,5,1,83.33,0,Inasistencias justificadas: 5/6 (83.33%).,2026-02-27
2025,1070,Patricio Rosas Barrientos,109,95.192,121,100.0,ok,1,,,,8,7,1,87.5,0,Inasistencias justificadas: 7/8 (87.5%).,2026-02-27
2025,1100,Cristián Araya Lerdo de Tejada,110,94.91,118,100.0,ok,1,,,,11,10,1,90.91,0,Inasistencias justificadas: 10/11 (90.91%).,2026-02-27
2025,1102,Roberto Arroyo Muñoz,111,94.901,118,100.0,ok,1,,,,11,11,0,100.0,0,Inasistencias justificadas: 11/11 (100.0%).,2026-02-27
2025,1108,Juan Carlos Beltrán Silva,112,94.807,116,100.0,ok,1,,,,13,9,4,69.23,0,Inasistencias justificadas: 9/13 (69.23%).,2026-02-27
2025,1158,Víctor Alejandro Pino Fuentes,113,94.807,116,100.0,ok,1,,,,13,10,3,76.92,0,Inasistencias justificadas: 10/13 (76.92%).,2026-02-27
2025,1181,Nelson Venegas Salazar,114,94.745,122,100.0,ok,1,,,,7,4,3,57.14,0,Inasistencias justificadas: 4/7 (57.14%).,2026-02-27
2025,1097,Eric Aedo Jeldres,115,94.523,110,100.0,ok,1,,,,19,14,5,73.68,0,Inasistencias justificadas: 14/19 (73.68%).,2026-02-27
2025,1039,Pamela Jiles Moreno,116,94.346,120,100.0,ok,1,,,,10,3,7,30.0,0,Inasistencias justificadas: 3/10 (30.0%).,2026-02-27
